House number,listing_id,city,address,property_type,price,total_square_ft,above_square_ft,bed,bath,list_date,hoa
0,5536658,Denver,8359 Cherokee Street,Residential,"$479,700","2,030","1,015",5,2,05/29/2022,No
1,4142574,Colorado Springs,15025 Hilton Head Court,Residential,"$645,000","3,494","2,118",5,4,05/29/2022,Yes
2,7855800,Estes Park,540 W Elkhorn Avenue Unit# B2,Residential,"$349,000",588,588,1,1,05/29/2022,Yes
3,6793775,Salida,118 Mesa Drive,Residential,"$889,000","2,455","1,708",3,4,05/29/2022,No
4,7046988,Lyons, Cedar,Land,"$97,000",,,,,05/29/2022,Yes
5,5649842,Tabernash,239 Pole Creek Drive,Residential,"$2,890,000","9,627","5,614",5,5,05/29/2022,Yes
6,6450125,Crestone,1011 Sycamore Road,Residential,"$749,000","3,179","3,179",5,2,05/29/2022,Yes
7,1850088,Georgetown,1944 Alvarado Road,Land,"$279,900",,,,,05/29/2022,No
8,7158396,Lakewood,422 S Union Boulevard,Residential,"$695,000","2,673","1,476",5,3,05/29/2022,No
9,7678775,Morrison,5852 Whale Rock Way,Residential,"$1,495,000","3,524","2,300",4,3,05/29/2022,Yes
10,4750332,Deer Trail,4425 S Price Rd,Residential,"$749,900","2,031","2,031",4,2,05/29/2022,No
11,3402699,Twin Lakes,796 Spruce Drive,Residential,"$989,000","2,550","2,550",4,3,05/29/2022,No
12,7842430,Frisco,222 Creekside Drive Unit# 316,Residential,"$750,000",754,754,2,2,05/29/2022,Yes
13,4757050,Larkspur,648 Poncho Road,Land,"$250,000",,,,,05/29/2022,No
14,5330687,Boulder,4554 Starboard Drive,Residential,"$950,000","2,340","1,566",4,3,05/29/2022,Yes
15,2580881,Denver,2103 W 28th Avenue,Residential Lease,"$7,000","3,125","2,448",4,4,05/29/2022,
16,5958452,Aurora,2868 S Heather Gardens Way Unit# 205,Residential,"$264,000","1,200","1,200",2,2,05/29/2022,Yes
17,1552790,Aurora,2411 S Xanadu Way Unit# D,Residential,"$380,000","1,091","1,091",2,2,05/29/2022,Yes
18,5827651,Castle Rock,1274 N Tabor Drive,Residential,"$655,000","3,553","2,618",4,3,05/29/2022,Yes
19,2720566,Colorado City,Lot 9 Applewood Drive,Land,"$15,000",,,,,05/29/2022,No
20,7745174,Evergreen,29940 Fir Drive,Residential,"$350,000",612,612,1,1,05/29/2022,No
21,3245518,Castle Rock,700 Sunset Drive,Residential,"$845,900","3,703","3,127",3,4,05/29/2022,No
22,7476457,Colorado Springs,12085 Sylvan Meadows Drive,Residential,"$2,000,000","5,025","2,518",5,4,05/29/2022,Yes
23,6465002,Dillon,"72 Corinthian Circle Unit# 104, Bldg D",Residential,"$969,900","1,142","1,142",2,2,05/29/2022,Yes
24,8209854,Colorado Springs,7675 Walker Road,Residential,"$999,800","4,202","2,720",5,4,05/29/2022,Yes
25,7174548,Keystone,20 Hunki Dori Court Unit# 2220,Residential,"$997,000",920,920,2,3,05/29/2022,Yes
26,3296928,Fowler,206 206 1/2 E Park,Residential,"$129,900",764,764,2,1,05/29/2022,No
27,3133925,Bennett,44100 E County Road 6 E,Land,"$5,500,000",,,,,05/29/2022,No
28,6895287,Denver,4636 Beach Court,Residential,"$590,000","1,065","1,065",3,1,05/29/2022,No
29,6310679,Castle Pines,1733 Stable View Drive,Residential,"$803,202","2,636","1,894",4,4,05/29/2022,Yes
30,3523029,Northglenn,3410 E 106th Place,Residential,"$520,000","1,848","1,540",3,3,05/29/2022,Yes
31,8664833,Foxfield,7234 S Uravan Court,Residential,"$1,599,000","5,832","3,866",5,6,05/29/2022,No
32,3700191,Monument,17745 Radbourne Court,Residential,"$1,279,000","4,540","2,297",4,5,05/29/2022,Yes
33,4852129,Bailey,5 Gray Street,Residential,"$150,000",480,480,1,0,05/29/2022,No
34,5521649,Broomfield,13870 Meadowbrook Drive,Residential,"$1,050,000","4,356","2,945",5,4,05/29/2022,Yes
35,IR966906,Loveland,570 W 2nd Street,Residential,"$489,000","2,184","1,092",2,1,05/29/2022,No
36,IR966905,Estes Park,540 W Elkhorn Avenue Unit# B2,Residential,"$349,000",588,588,1,1,05/29/2022,Yes
37,IR966903,Glen Haven,7161 County Road 43,Land,"$425,000",,,,,05/29/2022,Yes
38,IR966901,Lafayette,414 Blue Lake Trail,Residential,"$575,000","1,572","1,076",2,3,05/29/2022,Yes
39,IR966896,Severance,511 Limber Pine Court Court,Residential,"$517,000","2,495","1,298",5,3,05/29/2022,Yes
40,IR966895,Conifer,28669 Mountain View Road,Residential,"$515,000","1,368",864,2,1,05/29/2022,No
